,0
2001-02-01,-0.06576375380895824
2001-02-05,-0.0764552442211807
2001-02-08,-0.08448535977219127
2001-02-12,-0.09517137887611479
2001-02-15,-0.10319363509765207
2001-02-19,-0.11392179248009876
2001-02-22,-0.12197314697973848
2001-02-26,-0.1327241422335514
2001-03-01,-0.14081919898568998
2001-03-05,0.8415341751335984
2001-03-08,3.8152678560211633
2001-03-12,6.792474245633181
2001-03-15,5.795362870486575
2001-03-19,1.802978785017961
2001-03-22,-0.1983644863065131
2001-03-26,-0.20931330131335216
2001-03-29,-0.21486459776248076
2001-04-02,-0.21694158040021697
2001-04-05,-0.21709907119477403
2001-04-09,-0.21734922975060286
2001-04-12,-0.21749082523740992
2001-04-16,-0.21767766344458728
2001-04-19,-0.2177937136675894
2001-04-23,-0.217849118348331
2001-04-26,-0.21784408785784504
2001-04-30,-0.21777814317905245
2001-05-03,-0.21774392132851172
2001-05-07,-0.21770897983062312
2001-05-10,-0.21766068088393664
2001-05-14,-0.21759326597918066
2001-05-17,-0.2175459899427034
2001-05-21,-0.2175173057659593
2001-05-24,-0.21751983777439768
2001-05-28,-0.21750501421611235
2001-05-31,-0.21750122732233437
2001-06-04,-0.2175003775592203
2001-06-07,-0.217487702881995
2001-06-11,-0.21747849400412161
2001-06-14,-0.21746530450599297
2001-06-18,-0.21742979259128153
2001-06-21,-0.21739931327354825
2001-06-25,-0.21736000087094604
2001-06-28,-0.2173305004284973
2001-07-02,-0.21729258276411723
2001-07-05,-0.2172682930008542
2001-07-09,-0.2172445511313467
2001-07-12,-0.21722909019832076
2001-07-16,-0.21720649493923624
2001-07-19,-0.21719404237766088
2001-07-23,-0.2171833096987251
2001-07-26,-0.2171736514776067
2001-07-30,-0.2171655773876862
2001-08-02,-0.21716663886558452
2001-08-06,-0.2171654855674775
2001-08-09,-0.21716223626396564
2001-08-13,-0.21715334940404896
2001-08-16,-0.21714730309329788
2001-08-20,-0.2171454228049849
2001-08-23,-0.21715091842600556
2001-08-27,-0.21717533508353806
2001-08-30,-0.2171791180411744
2001-09-03,-0.2171711234320938
2001-09-06,-0.2171756107307241
2001-09-10,-0.21717464075043355
2001-09-13,-0.21717187688194026
2001-09-17,-0.21719168113590695
2001-09-20,-0.21722551352996938
2001-09-24,-0.21725418885968262
2001-09-27,-0.217282447166294
2001-10-01,-0.2173208216508
2001-10-04,-0.21730360967821905
2001-10-08,-0.21723773382120376
2001-10-11,-0.21723851875359904
2001-10-15,-0.21718821863713084
2001-10-18,-0.2170477733580979
2001-10-22,-0.21684925774937
2001-10-25,-0.21688316083897072
2001-10-29,-0.21709578796168905
2001-11-01,-0.21720376406512482
2001-11-05,-0.21730837601714856
2001-11-08,-0.21735086104135778
2001-11-12,-0.2173277302281686
2001-11-15,-0.21723116139375784
2001-11-19,-0.2171231657660974
2001-11-22,-0.21712318997723012
2001-11-26,-0.2171443909635287
2001-11-29,-0.21596365796046704
2001-12-03,-0.20886713656375505
2001-12-06,-0.20057996912226697
2001-12-10,-0.18953926980779962
2001-12-13,-0.18124771486790567
2001-12-17,-0.17018849800057678
2001-12-20,-0.1619344455306085
2001-12-24,-0.15101324709823216
2001-12-27,-0.14280817029833232
2001-12-31,-0.13183930608253505
2002-01-03,-0.12369048264592165
2002-01-07,-0.11293597143393995
2002-01-10,-0.10484677447614243
2002-01-14,-0.094030337175822
2002-01-17,-0.08593992500536649
2002-01-21,-0.07522043820248267
2002-01-24,-0.06722051667308336
2002-01-28,-0.06050411557264291
2002-01-31,-0.06319659573472923
2002-02-04,-0.07349786837488721
2002-02-07,-0.08148176418724286
2002-02-11,-0.09213136776947249
2002-02-14,-0.10015604968914019
2002-02-18,-0.1108709062940523
2002-02-21,-0.11892723004682351
2002-02-25,-0.12972380876616418
2002-02-28,-0.13784556738455003
2002-03-04,-0.14873925722318196
2002-03-07,2.8237374417423045
2002-03-11,6.792515321438623
2002-03-14,6.792519169557529
2002-03-18,2.801735215231035
2002-03-21,-0.1955119134686796
2002-03-25,-0.20657283979724114
2002-03-28,-0.2132414578645894
2002-04-01,-0.21653270367466168
2002-04-04,-0.21644845752715308
2002-04-08,-0.21647836081020103
2002-04-11,-0.21660012416078445
2002-04-15,-0.21672674774822037
2002-04-18,-0.2167845824158555
2002-04-22,-0.2169418343956533
2002-04-25,-0.21705428584931333
2002-04-29,-0.21703287639656857
2002-05-02,-0.21700305532844852
2002-05-06,-0.21700956709326433
2002-05-09,-0.21700173159033628
2002-05-13,-0.2169887268145271
2002-05-16,-0.21695384991477515
2002-05-20,-0.2169130968258156
2002-05-23,-0.21693692319989114
2002-05-27,-0.21698612422642316
2002-05-30,-0.216986868684344
2002-06-03,-0.21697738435659697
2002-06-06,-0.21696973025247887
2002-06-10,-0.21696024067596595
2002-06-13,-0.21694273161162253
2002-06-17,-0.21691961287030898
2002-06-20,-0.21690126877137958
2002-06-24,-0.21686060961096582
2002-06-27,-0.21681030786843908
2002-07-01,-0.2167409407822655
2002-07-04,-0.21671606998223608
2002-07-08,-0.2166903645236257
2002-07-11,-0.21666805378807083
2002-07-15,-0.21664390058291452
2002-07-18,-0.2166414499194742
2002-07-22,-0.21664356335762272
2002-07-25,-0.21663383618790308
2002-07-29,-0.21662169247615698
2002-08-01,-0.21662015581838923
2002-08-05,-0.216624339542554
2002-08-08,-0.21662290521839042
2002-08-12,-0.21662624320911805
2002-08-15,-0.21662599624925533
2002-08-19,-0.21663069809019908
2002-08-22,-0.21664498570954344
2002-08-26,-0.2166692573873412
2002-08-29,-0.2166866137114096
2002-09-02,-0.21670102775630462
2002-09-05,-0.2167138610354967
2002-09-09,-0.2167100501067315
2002-09-12,-0.2166519387206444
2002-09-16,-0.21665875206554974
2002-09-19,-0.2167385540751784
2002-09-23,-0.21676793719477794
2002-09-26,-0.21674111990936593
2002-09-30,-0.21663871551301453
2002-10-03,-0.2165634757245995
2002-10-07,-0.21645965982239182
2002-10-10,-0.21625494187437266
2002-10-14,-0.21613338239798688
2002-10-17,-0.21623137018798488
2002-10-21,-0.21636914421303785
2002-10-24,-0.21648802084159696
2002-10-28,-0.21660762545360168
2002-10-31,-0.2165239037897667
2002-11-04,-0.21624487778303772
2002-11-07,-0.21615635850628337
2002-11-11,-0.2162318647391483
2002-11-14,-0.21627784713670814
2002-11-18,-0.21628505358698732
2002-11-21,-0.21630809142385227
2002-11-25,-0.21632176858131835
2002-11-28,-0.21594181361585985
2002-12-02,-0.2104869055144198
2002-12-05,-0.20263416217700525
2002-12-09,-0.19159203341736053
2002-12-12,-0.1833221046907525
2002-12-16,-0.17230554369902173
2002-12-19,-0.16405853242700236
2002-12-23,-0.1531426678416057
2002-12-26,-0.14498142700298172
2002-12-30,-0.1340882971132358
2003-01-02,-0.12593757375985637
2003-01-06,-0.11508925808339754
2003-01-09,-0.1069662308115068
2003-01-13,-0.09620581494232691
2003-01-16,-0.088140256778645
2003-01-20,-0.0773998703543808
2003-01-23,-0.06937853898062578
2003-01-27,-0.060604054943639865
2003-01-30,-0.060954830342900335
2003-02-03,-0.07017610104913422
2003-02-06,-0.07819797689424815
2003-02-10,-0.08892783117305816
2003-02-13,-0.09698106498272492
2003-02-17,-0.10774578042623528
2003-02-20,-0.11584071478220742
2003-02-24,-0.12664555625075954
2003-02-27,-0.13475885630845585
2003-03-03,-0.14558792519465127
2003-03-06,1.8330255090206666
2003-03-10,5.800335000193581
2003-03-13,6.793163460613815
2003-03-17,3.800718068703085
2003-03-20,0.8046584494627858
2003-03-24,-0.20316861762161417
2003-03-27,-0.21083941133548273
2003-03-31,-0.21586442956606489
2003-04-03,-0.21617240070093527
2003-04-07,-0.21642424257686763
2003-04-10,-0.21664060254113493
2003-04-14,-0.21678690719683935
2003-04-17,-0.21690891781727345
2003-04-21,-0.21702028197577145
2003-04-24,-0.2169919001169456
2003-04-28,-0.21691807326859683
2003-05-01,-0.21685303677415618
2003-05-05,-0.21682423425630484
2003-05-08,-0.21684351310672842
2003-05-12,-0.21681263404802664
2003-05-15,-0.21676214349643522
2003-05-19,-0.2167063660545398
2003-05-22,-0.21667296828771926
2003-05-26,-0.2166137850159562
2003-05-29,-0.21656215231841383
2003-06-02,-0.2165112246727361
2003-06-05,-0.21648306375193055
2003-06-09,-0.21642460919812678
2003-06-12,-0.2163965358312212
2003-06-16,-0.2163878381672852
2003-06-19,-0.21635878672469475
2003-06-23,-0.21631997291056226
2003-06-26,-0.21630009958071703
2003-06-30,-0.21626454775712026
2003-07-03,-0.21624027774515783
2003-07-07,-0.21622735566256757
2003-07-10,-0.21620466191767995
2003-07-14,-0.21615339029854852
2003-07-17,-0.2161314890724223
2003-07-21,-0.21611929403819738
2003-07-24,-0.21610380080589822
2003-07-28,-0.21608879997386654
2003-07-31,-0.21609049910732298
2003-08-04,-0.21608887347255923
2003-08-07,-0.2160863553427284
2003-08-11,-0.2160828753480352
2003-08-14,-0.2160873327513805
2003-08-18,-0.21609657005759095
2003-08-21,-0.21610388777025025
2003-08-25,-0.21612679594945397
2003-08-28,-0.2161338596178032
2003-09-01,-0.21615257863917642
2003-09-04,-0.21618383791699147
2003-09-08,-0.21619258212019496
2003-09-11,-0.21618755265120315
2003-09-15,-0.21621026435536336
2003-09-18,-0.21622330684526486
2003-09-22,-0.2162498959427234
2003-09-25,-0.21628650904521327
